title,category,button
Campus,Locations,
Idaho,Locations,
Inland Northwest,Locations,
Latah County,Locations,
Moscow,Locations,
Northwest,Locations,
Potlatch,Locations,
University of Idaho,Locations,
Agriculture,Subjects,btn
Dams,Subjects,btn
Education,Subjects,
Environmental,Subjects,
Fire,Subjects,btn
Forests,Subjects,btn
Jazz,Subjects,btn
Labor,Subjects,
Maps,Subjects,
Mining,Subjects,btn
Native Americans,Subjects,
Oral History,Subjects,btn
Poetry,Subjects,
Politics,Subjects,
Rangeland,Subjects,
Religion,Subjects,btn
Science Fiction,Subjects,
Sports,Subjects,
UI Research,Subjects,
War,Subjects,
Water,Subjects,
Wilderness,Subjects,btn
Audio,Media Types,
Data,Media Types,
Documents,Media Types,
Correspondence,Media Types,
Images,Media Types,
Maps,Media Types,
Music Scores,Media Types,
Newspaper,Media Types,
Photographs,Media Types,
Scrapbook,Media Types,
Video,Media Types,
Bitterroot Mt. ,Idaho,
Boise,Idaho,
Burke,Idaho,
Cataldo,Idaho,
Central Idaho,Idaho,
Chamberlain Basin,Idaho,
Coeur d'Alene,Idaho,
Coolin,Idaho,
Deception Creek,Idaho,
Dworshak Dam,Idaho,
Elk Summit,Idaho,
Frank Church-River of No Return Wilderness ,Idaho,
Freeman Peak,Idaho,
Genesee,Idaho,
Harvard,Idaho,
Idaho,Idaho,
Kellogg,Idaho,
Kooskia,Idaho,
Lapwai,Idaho,
Latah County,Idaho,
Lewiston,Idaho,
McCall,Idaho,
Moose Meadows,Idaho,
Moscow,Idaho,
Mullan,Idaho,
Northern Idaho,Idaho,
Packers Meadows ,Idaho,
Paradise Campground,Idaho,
Potlatch,Idaho,
Priest Lake,Idaho,
Priest River,Idaho,
Princeton,Idaho,
Salmon River,Idaho,
Selway-Bitterroot Wilderness Region,Idaho,
Shearer Guard Station,Idaho,
Shissler Peak Lookout,Idaho,
Shoshone County,Idaho,
Silver Valley,Idaho,
Spalding,Idaho,
Taylor Ranch,Idaho,
Trapper Peak,Idaho,
Twin Falls,Idaho,
Upper Priest Lake,Idaho,
Wallace,Idaho,
Wardner,Idaho,
White Bird Battlefield,Idaho,
Admin building,University of Idaho,
Admin Lawn,University of Idaho,
Arboretum,University of Idaho,
Commons,University of Idaho,
English Department,University of Idaho,
Kibbie Dome,University of Idaho,
Library,University of Idaho,
MacLean Field,University of Idaho,
Neale Stadium,University of Idaho,
